 point             x              y              z          zone  nugget  sill            a_hmax         a_hmin         a_vert        ang1      ang2      ang3
 PPC0229        427325.000    6654925.000        137.245       1   0.0    1.0                  24.000         24.000          6.806   0.0       0.0       0.0
 PPC0230        427325.000    6654950.000        134.202       1   0.0    1.0                  24.000         24.000          6.249   0.0       0.0       0.0
 PPC0231        427325.000    6654975.000        131.904       1   0.0    1.0                  24.000         24.000          4.958   0.0       0.0       0.0
 PPC0232        427325.000    6655000.000        132.250       1   0.0    1.0                  24.000         24.000          5.373   0.0       0.0       0.0
 PPC0233        427325.000    6655025.000        135.983       1   0.0    1.0                  24.000         24.000          7.471   0.0       0.0       0.0
 PPC0234        427325.000    6655050.000        139.183       1   0.0    1.0                  24.000         24.000          8.076   0.0       0.0       0.0
 PPC0235        427325.000    6655075.000        140.508       1   0.0    1.0                  24.000         24.000          7.553   0.0       0.0       0.0
 PPC0236        427325.000    6655100.000        141.673       1   0.0    1.0                  24.000         24.000          7.306   0.0       0.0       0.0
 PPC0237        427325.000    6655125.000        142.743       1   0.0    1.0                  24.000         24.000          7.037   0.0       0.0       0.0
 PPC0238        427325.000    6655150.000        143.413       1   0.0    1.0                  24.000         24.000          6.821   0.0       0.0       0.0
